"Date","State","City","Cause","Description","Gender","Age","Age demographic","MFI","Disability","Residential building type","Smoke alarms","Media URL"
"10/20/2014","CA","Ukiah","Under investigation","A 66-year-old woman died in an apartment fire.","Female","66","Older adults (65 and older)","","N","Multifamily","Not reported","https://www.ukiahdailyjournal.com/ci_26769319/woman-found-dead-apartment-fire"
"10/11/2014","CA","Hayward","Electrical malfunction
","A man in his 80s died in a house fire.","Male","80","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.ktvu.com/news/news/local/neighbors-unable-save-man-fatal-hayward-house-fire/nhgqY/"
"10/06/2014","CA","Orange","Under investigation","An elderly man died in a house fire.","Male","Unknown","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://abc7.com/news/elderly-man-found-dead-in-orange-house-fire/339378/"
"10/02/2014","CA","Vallejo","Under investigation","A man died in a garage fire.","Male","Unknown","Unknown","","N","Other","Not reported","https://www.timesheraldonline.com/ci_26652030/one-person-dead-suspicious-vallejo-garage-fire"
"09/23/2014","CA","Bakersfield","Under investigation","A 44-year-old man died in a shed fire adjacent to a house","Male","44","Unknown","","N","Other","Not reported","https://www.bakersfieldnow.com/news/local/Coroner-names-man-found-dead-after-fire-277774232.html"
"09/22/2014","CA","Oceanside","Under investigation","A 71-year-old woman died in a mobile home fire.","Female","71","Older adults (65 and older)","","N","1 & 2 family mobile","Not reported","https://timesofsandiego.com/crime/2014/09/22/elderly-woman-dies-mobile-home-fire-oceanside/"
"09/16/2014","CA","Hemet","Under investigation","A 92-year-old man died in a mobile home fire.","Male","92","Older adults (65 and older)","","N","1 & 2 family mobile","Not present/not working","https://www.pe.com/articles/fire-750138-home-hemet.html"
"09/13/2014","CA","Santa Rosa","Under investigation","A 78-year-old woman died in a house fire","Female","78","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.ktvu.com/news/news/local/fatal-house-fire-santa-rosa-leaves-one-dead/nhMbp"
"09/12/2014","CA","Los Angeles","Under investigation","A man died in a house fire.","Male","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.losangelesregister.com/articles/fire-604871-body-brush.html"
"09/10/2014","CA","Arcata","Under investigation","A 52-year-old woman died in an apartment fire","Female","52","Unknown","","N","Multifamily","Not reported","https://www.times-standard.com/breakingnews/ci_26507198/arcata-fire-claims-one-life"
"08/28/2014","CA","Los Angeles","Under investigation","An elderly woman in her 90s and an elderly man in his 70s died in an apartment fire. ","Female","90","Older adults (65 and older)","1 of 2","N","Multifamily","Not present/not working","https://www.nbclosangeles.com/news/local/encino-apartment-fire-lindley-avenue-273140971.html"
